bead_id,z_px,y_px,x_px,z_um,y_um,x_um,status,sigma_z_um,sigma_y_um,sigma_x_um,sigma_xy_um,fwhm_z_nm,fwhm_y_nm,fwhm_x_nm,fwhm_xy_nm,ellipticity,snr
0,66,163,176,7.2600,20.7010,22.3520,border_rejected,,,,,,,,,,
1,44,72,48,4.8400,9.1440,6.0960,used_in_psf,0.3461,0.1487,0.1481,0.1484,815.1,350.2,348.8,349.5,-0.0040,172.89
2,53,146,50,5.8300,18.5420,6.3500,used_in_psf,0.3480,0.1468,0.1496,0.1482,819.4,345.7,352.3,349.0,0.0190,172.63
3,54,32,176,5.9400,4.0640,22.3520,used_in_psf,0.3497,0.1473,0.1486,0.1479,823.6,346.8,349.9,348.4,0.0088,169.47
4,54,83,163,5.9400,10.5410,20.7010,used_in_psf,0.3493,0.1472,0.1477,0.1474,822.6,346.6,347.7,347.2,0.0032,176.50
5,24,116,104,2.6400,14.7320,13.2080,used_in_psf,0.3461,0.1477,0.1507,0.1492,815.1,347.7,354.8,351.3,0.0203,169.55
6,60,147,92,6.6000,18.6690,11.6840,used_in_psf,0.3476,0.1489,0.1495,0.1492,818.7,350.6,352.0,351.3,0.0041,174.96
7,44,181,27,4.8400,22.9870,3.4290,used_in_psf,0.3485,0.1457,0.1485,0.1471,820.8,343.1,349.6,346.4,0.0187,167.92
8,15,26,141,1.6500,3.3020,17.9070,used_in_psf,0.3513,0.1483,0.1480,0.1482,827.4,349.3,348.5,348.9,-0.0021,179.66
9,33,35,64,3.6300,4.4450,8.1280,used_in_psf,0.3501,0.1459,0.1472,0.1466,824.5,343.6,346.8,345.2,0.0092,175.16
10,34,202,91,3.7400,25.6540,11.5570,accepted,0.3516,0.1510,0.1495,0.1502,828.1,355.5,352.1,353.8,-0.0098,174.62
11,51,132,146,5.6100,16.7640,18.5420,used_in_psf,0.3431,0.1489,0.1500,0.1495,808.1,350.8,353.4,352.1,0.0073,177.01
12,43,202,185,4.7300,25.6540,23.4950,accepted,0.3458,0.1507,0.1486,0.1496,814.3,354.8,349.8,352.3,-0.0140,168.79
13,52,69,201,5.7200,8.7630,25.5270,accepted,0.3527,0.1499,0.1501,0.1500,830.7,353.1,353.4,353.2,0.0009,169.95
14,26,33,97,2.8600,4.1910,12.3190,used_in_psf,0.3531,0.1486,0.1496,0.1491,831.6,349.9,352.2,351.1,0.0066,173.29
